id,value
https://github/TamuccComputerScienceClub/CSClubTextBasedGame2016.Gamesoflearning,1
https://github/kimasenbeck/cs111_finalProject_201409.Gamesoflearning,1
https://github/JeffreyMJohnson/Pong Gamesoflearning,1
https://github/JeffreyMJohnson/Pong Gamesoflearning,1
https://github/mikaelbr/frp-piano NaturalLanguageProcessing,1
https://github/natesmith83/WSU_GoBabyGo_Programming NaturalLanguageProcessing,1
https://github/asymptoticdesign/Programming-Visual-and-Generative-Art NaturalLanguageProcessing,1
https://github/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming NaturalLanguageProcessing,1
https://github/muhammedbasuney/CS106A-ProgrammingMethodology.NaturalLanguageProcessing,1
https://github/ksrdj/coursera-r-programming-peer-assessment-1 NaturalLanguageProcessing,1
https://github/agileronin/coursera-r-programming-peer-assessment-1.NaturalLanguageProcessing,1
https://github/arjun1237/Inheritance---Java NaturalLanguageProcessing,1
https://github/gouthamiexcelr/PMP-Certification-Training-in-Malaysia-Project-Management-Training-in-Malaysia.NaturalLanguageProcessing,1
https://github/TLNsrivalli/atOnePage.NaturalLanguageProcessing,1
https://github/ChristianHur/152-187-Web-Program-Orientation NaturalLanguageProcessing,1
https://github/lonewoolf/Maching-Learning-Programs.NaturalLanguageProcessing,1
https://github/lemmatheultimate/weblog.NeuralNetworks,1
https://github/chankwpj/CUROP2016 NeuralNetworks,1
https://github/epfl-lasa/ML_toolbox NeuralNetworks,1
https://github/abbood/audioSamplingToAudioQueue NeuralNetworks,1
https://github/kknet/AlgorithmicTrading NeuralNetworks,1
https://github/andela-foladeji/License-Plate-Recognition-Nigerian-vehicles.NeuralNetworks,1
https://github/vrdmr/CS273a-Introduction-to-Machine-Learning.NeuralNetworks,1
https://github/loliverhennigh/Computational-Fluid-Dynamics-Machine-Learning-Examples.NeuralNetworks,1
https://github/JacobPlaster/ann-writer.NeuralNetworks,1
https://github/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming NeuralNetworks,1
https://github/shionguha/cosc3570-introdatascience-fa18 NeuralNetworks,1
https://github/davidoshiro/Learning-Lua NeuralNetworks,1
https://github/ksrdj/coursera-r-programming-peer-assessment-1 NeuralNetworks,1
https://github/agileronin/coursera-r-programming-peer-assessment-1.NeuralNetworks,1
https://github/arjun1237/Inheritance---Java NeuralNetworks,1
https://github/TLNsrivalli/atOnePage.NeuralNetworks,1
https://github/yty/A-R-C- NeuralNetworks,1
https://github/uluumy/Data4People-Women-s-Health-Risk-Assessment.NeuralNetworks,1
https://github/lonewoolf/Maching-Learning-Programs.NeuralNetworks,1
https://github/LambdaSchool/ML-Precourse.NeuralNetworks,1
https://github/xrd/ChitStat Platforms,1
https://github/susana/beat-visualizer Platforms,1
https://github/overtone/overtone.Platforms,1
https://github/gleneivey/pairmatic2 Platforms,1
https://github/drawpile/Drawpile.Platforms,1
https://github/code-friends/CodeFriends Platforms,1
https://github/1j01/multifiddle Platforms,1
https://github/thisandagain/turtle.Platforms,1
https://github/Starmonkeys/website.Platforms,1
https://github/amber/amber.Platforms,1
https://github/joeljfischer/meteor-collabmirror Platforms,1
https://github/mostafa/iptables_book.Platforms,1
https://github/scottedwards/collaborative-text-editor Platforms,1
https://github/gthorisson/vivo-orcidextensions.Platforms,1
https://github/Spacerat/CollabPaint Platforms,1
https://github/achristoph/Collaborative-Filtering Platforms,1
https://github/DubFriend/GraffitiWall Platforms,1
https://github/lonewoolf/Maching-Learning-Programs.Platforms,1
https://github/gleneivey/pairmatic.Platforms,1
https://github/acarrillo/sCribble Platforms,1
https://github/adaipule/MovieRecommendation Platforms,1
https://github/Aidanie/codeedit Platforms,1
https://github/HerculesWS/Hercules.Platforms,1
https://github/ajzdunek/whatsForDinner-App.Platforms,1
https://github/sapphireblu117/From-Beginners-to-Winners Platforms,1
https://github/domainxz/vcrs.Platforms,1
https://github/otavio-cesar/cetecop Platforms,1
https://github/maximecb/toyCPU.Platforms,1
https://github/zhtpandog/One_Hundred_Tricky_Java_Questions.Platforms,1
https://github/oracle/dino-date Platforms,1
https://github/off99555/machine-learning-curriculum Platforms,1
https://github/foolalex/CS106A.Platforms,1
https://github/tuttiq/MaquinaVirtual.Platforms,1
https://github/SushmitaY/Algorithm-assignment Platforms,1
https://github/qlibin/posa-15-assignment3-studio.Platforms,1
https://github/Deirdre18/Professional-Portfolio-Website-GMIT- Platforms,1
https://github/mlopezbuendia/CreativeProgrammingA1.Platforms,1
https://github/lemmatheultimate/weblog.Predictionbasedonstatisticalmethods,1
https://github/daletoniris/JarvisIA Predictionbasedonstatisticalmethods,1
https://github/asymptoticdesign/Programming-Visual-and-Generative-Art Predictionbasedonstatisticalmethods,1
https://github/savinay95n/Reinforcement-learning-Algorithms-and-Dynamic-Programming Predictionbasedonstatisticalmethods,1
https://github/mrsan22/CS109-STAT121-DataScience_Course Predictionbasedonstatisticalmethods,1
https://github/muhammedbasuney/CS106A-ProgrammingMethodology.Predictionbasedonstatisticalmethods,1
https://github/windyguo2046/Tableau-Citibike-HW20 Predictionbasedonstatisticalmethods,1
https://github/ksrdj/coursera-r-programming-peer-assessment-1 Predictionbasedonstatisticalmethods,1
https://github/agileronin/coursera-r-programming-peer-assessment-1.Predictionbasedonstatisticalmethods,1
https://github/nasiruzzaman/datasciencecoursera Predictionbasedonstatisticalmethods,1
https://github/TwgInternational/Import-Export-Management.Predictionbasedonstatisticalmethods,1
https://github/TLNsrivalli/atOnePage.Predictionbasedonstatisticalmethods,1
https://github/RagyHutch/relias-movie-project Predictionbasedonstatisticalmethods,1
https://github/ScottehBoeh/assessment-glencaldy-learning-centre Predictionbasedonstatisticalmethods,1
https://github/overtone/overtone.Predictionbasedonstatisticalmethods,1
https://github/lonewoolf/Maching-Learning-Programs.Predictionbasedonstatisticalmethods,1
https://github/bamcdougall/Predictive_Machine_Learning_Human_Activity_Assessment.Predictionbasedonstatisticalmethods,1
https://github/marcojakob/code-makery-ch.Simulatedannealing,1
https://github/windyguo2046/Tableau-Citibike-HW20 Simulatedannealing,1
https://github/arjun1237/Inheritance---Java Simulatedannealing,1
https://github/TLNsrivalli/atOnePage.Simulatedannealing,1
https://github/yty/A_R_C Simulatedannealing,1
https://github/karstenv/webmapping-with-qgismapserver-workshop.SupportVectorMachines,1
https://github/karstenv/webmapping-with-qgismapserver-workshop.SupportVectorMachines,1
https://github/muhammedbasuney/CS106A-ProgrammingMethodology.SupportVectorMachines,1
https://github/windyguo2046/Tableau-Citibike-HW20 SupportVectorMachines,1
https://github/ksrdj/coursera-r-programming-peer-assessment-1 SupportVectorMachines,1
https://github/agileronin/coursera-r-programming-peer-assessment-1.SupportVectorMachines,1
https://github/arjun1237/Inheritance---Java SupportVectorMachines,1
